formula,depth,n_nodes,sigma,noise_model,rmse,rmse_std,bits_of_precision,failure_rate,has_complex_intermediates
sqrt(x),12,43,0.005,additive_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.005,multiplicative_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.005,1_over_f,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.005,matched_pairs,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.01,additive_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.01,multiplicative_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.01,1_over_f,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.01,matched_pairs,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.02,additive_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.02,multiplicative_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.02,1_over_f,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.02,matched_pairs,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.05,additive_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.05,multiplicative_gaussian,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.05,1_over_f,nan,nan,-inf,1.0,1
sqrt(x),12,43,0.05,matched_pairs,nan,nan,-inf,1.0,1
1/x,14,53,0.0001,additive_gaussian,0.00032762947994979336,6.46709761540125e-05,12.312612797860439,0.49833333333333335,0
1/x,14,53,0.0001,multiplicative_gaussian,0.00038282999062381275,0.00032292699306873913,12.087974119781377,0.9924166666666666,0
1/x,14,53,0.0001,1_over_f,0.00025385196668174505,0.00016938940944217308,12.680690536531674,0.48,0
1/x,14,53,0.0001,matched_pairs,0.0002131499228108507,6.368975434769701e-05,12.932809440864771,0.5000833333333333,0
1/x,14,53,0.001,additive_gaussian,0.003336229718634904,0.000678506777639308,8.964531248761174,0.49241666666666667,0
1/x,14,53,0.001,multiplicative_gaussian,0.0035161420433524413,0.0038127431696481544,8.88875652589508,0.9930833333333333,0
1/x,14,53,0.001,1_over_f,0.002600542331715729,0.0016089622907854838,9.323937356464537,0.415,0
1/x,14,53,0.001,matched_pairs,0.0019928528190055333,0.0004789083644452999,9.707914714126316,0.4979166666666667,0
1/x,14,53,0.005,additive_gaussian,0.017003388815796702,0.00326317129297338,6.614999476371213,0.5003333333333333,0
1/x,14,53,0.005,multiplicative_gaussian,0.01728373551678602,0.018422438737179248,6.591406724476708,0.99225,0
1/x,14,53,0.005,1_over_f,0.01347004477367781,0.009063969431403366,6.951067137694866,0.485,0
1/x,14,53,0.005,matched_pairs,0.010426571901574047,0.002657962333708746,7.320556884333043,0.49183333333333334,0
1/x,14,53,0.01,additive_gaussian,0.03443066024426376,0.00810097133750995,5.597127937567167,0.4925,0
1/x,14,53,0.01,multiplicative_gaussian,0.04021310936919664,0.03926019583127454,5.373155891023575,0.9911666666666666,0
1/x,14,53,0.01,1_over_f,0.02569762510083726,0.013930119717542431,6.019186748006682,0.495,0
1/x,14,53,0.01,matched_pairs,0.020916344242077552,0.006063831979611235,6.31619106451219,0.5010833333333333,0
1/x,14,53,0.02,additive_gaussian,0.06984984049059031,0.016896008607283186,4.576564962847311,0.5019166666666667,0
1/x,14,53,0.02,multiplicative_gaussian,0.06859549977206754,0.06825064319555207,4.602707852870629,0.99275,0
1/x,14,53,0.02,1_over_f,0.05784930086933085,0.03824296087520832,4.848522260017744,0.55,0
1/x,14,53,0.02,matched_pairs,0.04237336304063595,0.01162280648353158,5.297664148524354,0.5101666666666667,0
1/x,14,53,0.05,additive_gaussian,0.18600247615293458,0.05122675545860906,3.1635718617536983,0.4999166666666667,0
1/x,14,53,0.05,multiplicative_gaussian,0.1715915986214639,0.16912506962073995,3.279914770970584,0.9921666666666666,0
1/x,14,53,0.05,1_over_f,0.15511572301876003,0.1033481285506829,3.4255487591494713,0.55,0
1/x,14,53,0.05,matched_pairs,0.10507382386841238,0.03238377073566491,3.9874903811119116,0.4979166666666667,0
x+y,6,21,0.0001,additive_gaussian,0.0004783106173272353,5.243056221870643e-05,12.405611289554809,0.0,0
x+y,6,21,0.0001,multiplicative_gaussian,0.0004376310005314044,0.0001438640659409962,12.533844167389388,0.8773333333333333,0
x+y,6,21,0.0001,1_over_f,0.00039413355473629354,0.0002461180330646485,12.684874526348649,0.0,0
x+y,6,21,0.0001,matched_pairs,0.0003107102573668686,8.78838132733559e-05,13.02798923611743,0.0,0
x+y,6,21,0.001,additive_gaussian,0.004744956986493848,0.0004748369458743033,9.095236001520748,0.0,0
x+y,6,21,0.001,multiplicative_gaussian,0.004545560766258696,0.0012080677611748124,9.157172726179098,0.8695833333333334,0
x+y,6,21,0.001,1_over_f,0.003906915782624399,0.0024935146947530407,9.375600853492875,0.0,0
x+y,6,21,0.001,matched_pairs,0.0030667735238221,0.0008051333114176065,9.72490938076857,0.0,0
x+y,6,21,0.005,additive_gaussian,0.02417400149100375,0.002703833967879162,6.746246615462439,0.0,0
x+y,6,21,0.005,multiplicative_gaussian,0.023197286229364712,0.006425495820237655,6.8057468764658005,0.8723333333333333,0
x+y,6,21,0.005,1_over_f,0.018803524970561057,0.01404982643310557,7.108699776157593,0.0,0
x+y,6,21,0.005,matched_pairs,0.014950322743593416,0.0036513422354900933,7.439526286488661,0.0,0
x+y,6,21,0.01,additive_gaussian,0.04731606929872356,0.005027033845989509,5.777372686524984,0.0,0
x+y,6,21,0.01,multiplicative_gaussian,0.044895405813023294,0.012650195857073436,5.853135095517822,0.8741666666666666,0
